parameter,mean,median,sd,lower,upper,truth,bias,rmse,coverage,width,regime,replicate,start
tau_SE,0.07428848871813894,0.07385337508842668,0.013235037523165929,0.048957225390027614,0.10180911960226821,0.03,0.04428848871813894,0.04428848871813894,FALSE,0.0528518942122406,High,1,medium
tau_SI,0.07413769964249727,0.07286827711485483,0.013091755390565053,0.049858064823114404,0.09987579709153065,0.06,0.014137699642497267,0.014137699642497267,TRUE,0.05001773226841624,High,1,medium
tau_SR,0.07485181470381759,0.07348694903628517,0.014133152080182784,0.052463044791797545,0.1031407700661402,0.03,0.04485181470381759,0.04485181470381759,FALSE,0.05067772527434265,High,1,medium
tau_SS,0.07667521498325375,0.07633328603284101,0.01263501993216541,0.05520820110270683,0.10326078092810406,0.03,0.04667521498325375,0.04667521498325375,FALSE,0.048052579825397235,High,1,medium
xi,0.056643822980258766,0.05499075745993069,0.01629366597365202,0.0301004803480484,0.09380294700778083,0.05,0.006643822980258764,0.006643822980258764,TRUE,0.06370246665973242,High,1,medium
beta,0.28585080104080546,0.28763903275648106,0.06644176532966663,0.15793454467273696,0.4146980732683754,0.3,-0.014149198959194531,0.014149198959194531,TRUE,0.25676352859563845,High,1,high
c,0.9502250925518728,0.9500581632781788,0.00586771401510564,0.939338409299858,0.9628053125444365,0.95,2.2509255187286303e-4,2.2509255187286303e-4,TRUE,0.023466903244578452,High,1,high
eta_EE,0.07771674645201329,0.07766125346274821,0.012876186721841465,0.05534366824098206,0.10224739833894023,0.08,-0.0022832535479867105,0.0022832535479867105,TRUE,0.04690373009795817,High,1,high
eta_EI,0.07385002615428969,0.07244302713083273,0.014266268978686877,0.049647073635329136,0.10268482604845869,0.08,-0.00614997384571031,0.00614997384571031,TRUE,0.05303775241312955,High,1,high
eta_ER,0.0787280724377736,0.0775591655059199,0.014291639273724456,0.05493093909735652,0.11273175038640845,0.08,-0.0012719275622263965,0.0012719275622263965,TRUE,0.057800811289051936,High,1,high
eta_II,0.0776154516377423,0.07881487374178747,0.013364790326662428,0.0524827819569908,0.1005061098877521,0.04,0.037615451637742305,0.037615451637742305,FALSE,0.048023327930761306,High,1,high
eta_IR,0.0765033201786265,0.07549422581047235,0.014092910811230137,0.05228768526856111,0.10456966804528392,0.08,-0.0034966798213734995,0.0034966798213734995,TRUE,0.05228198277672281,High,1,high
eta_RR,0.07877379812247015,0.07701816428001321,0.013123624769233034,0.058706412733093634,0.10859467075363942,0.08,-0.0012262018775298505,0.0012262018775298505,TRUE,0.049888258020545785,High,1,high
eta_SE,0.08065725364952817,0.07969102098990305,0.013940987773405886,0.056111127850650616,0.10503676998875824,0.08,6.572536495281639e-4,6.572536495281639e-4,TRUE,0.04892564213810763,High,1,high
eta_SI,0.07681253724723924,0.07534976686171702,0.013951809567468202,0.05385386061680019,0.10519147540674188,0.05,0.02681253724723924,0.02681253724723924,FALSE,0.05133761478994169,High,1,high
eta_SR,0.07794592560720652,0.07745218153550387,0.014012412867429104,0.05511839951661942,0.11020355245289239,0.08,-0.0020540743927934813,0.0020540743927934813,TRUE,0.05508515293627297,High,1,high
eta_SS,0.0763719394680365,0.07534518377974869,0.012956823565820107,0.05283544442898139,0.10247440438493398,0.08,-0.0036280605319635034,0.0036280605319635034,TRUE,0.04963895995595259,High,1,high
gamma,0.26725409541444833,0.2791798675304362,0.05393692287429916,0.1534915096709824,0.347730416540027,0.25,0.017254095414448334,0.017254095414448334,TRUE,0.1942389068690446,High,1,high
kappa,0.365717724463698,0.355880632184419,0.07585070443415047,0.2490186298013094,0.5400432665144371,0.4,-0.03428227553630203,0.03428227553630203,TRUE,0.2910246367131277,High,1,high
p_E,0.597724827782941,0.5954940901448479,0.04007793936242006,0.5325312254470319,0.6782416732895266,0.6,-0.002275172217058974,0.002275172217058974,TRUE,0.14571044784249465,High,1,high
